filenameshort|processes|memtotal|ecutwfc|ecutrho|nbnd|na|nat|volume|energy|force|cella|cellb|cellc|celld|celle|cellf|caxx|caxy|caxz|cayx|cayy|cayz|cazx|cazy|cazz|kpoints|smearing|wallTime|computeTime|bravais|scfconvthr|mixingbeta|mixingmode|converged|conviter|bfgs
fe_octa_0001.out      |     72   |~         |    71.0000 |   430.000|  317 |       33       |        5       |  2283.7811     |-10864.23208987 |   1.347256   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  125   | 0.0400   |13860   |     3h51m W  |    0         |  1.0E-06     |0.1000        |   10  plain     mixing                 |converged-true  |75 iterations|scf      
fe_octa_001.out       |     72   |~         |    71.0000 |   430.000|  317 |       33       |        5       |  2283.7811     |-10864.23208929 |   1.347117   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  125   | 0.0400   |6480    |     1h48m W  |    0         |  1.0E-06     |0.3000        |    8  local-TF  mixing                 |converged-true  |32 iterations|scf      
fe_octa_1.out         |     72   |~         |    71.0000 |   430.000|  317 |       33       |        3       |  2283.7811     |-10864.23209090 |   1.347323   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |5340    |     1h29m W  |    0         |  1.0E-07     |0.1000        |   10  local-TF  mixing                 |converged-true  |42 iterations|scf      
fe_octa_1_revised_001 |     72   |~         |    71.0000 |   430.000|  317 |       33       |        3       |  2283.7811     |-10864.23208975 |   1.347362   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |3960    |     1h 6m W  |    0         |  1.0E-06     |0.3000        |    8  local-TF  mixing                 |converged-true  |32 iterations|scf      
fe_octa_1_revised_002 |     72   |~         |    71.0000 |   430.000|  317 |       33       |        3       |  2283.7811     |-10864.23209041 |   1.347275   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |3900    |     1h 5m W  |    0         |  1.0E-06     |0.8000        |    8  local-TF  mixing                 |converged-true  |33 iterations|scf      
fe_octa_1_revised_003 |     72   |~         |    71.0000 |   430.000|  340 |       33       |        3       |  2283.7811     |-10864.23209017 |   1.347289   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |4380    |     1h13m W  |    0         |  1.0E-06     |0.8000        |    8  local-TF  mixing                 |converged-true  |38 iterations|scf      
fe_octa_1_revised_4.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.23208976 |   1.347308   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |3600    |     1h 0m W  |    0         |  1.0E-06     |0.3000        |   10  local-TF  mixing                 |converged-true  |29 iterations|scf      
fe_octa_1_revised_5.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.23208934 |   1.347575   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |4380    |     1h13m W  |    0         |  1.0E-06     |0.1000        |   10  local-TF  mixing                 |converged-true  |36 iterations|scf      
fe_octa_1_revised_6.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.23208933 |   1.347510   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |5280    |     1h28m W  |    0         |  1.0E-06     |0.0500        |   10  local-TF  mixing                 |converged-true  |46 iterations|scf      
fe_octa_1_revised_7.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.18605269 |   1.335405   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0700   |3296    | 54m56.89s W  |    0         |  1.0E-06     |0.3000        |   10  local-TF  mixing                 |converged-true  |25 iterations|scf      
fe_octa_1_revised_8.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.23211106 |   1.347352   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  126   | 0.0400   |6060    |     1h41m W  |    0         |  1.0E-06     |0.3000        |   10  local-TF  mixing                 |converged-true  |29 iterations|scf      
fe_octa_1_revised_9.o |     72   |~         |    71.0000 |   430.000|  320 |       33       |        3       |  2283.7811     |-10864.23211223 |   1.347338   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  196   | 0.0400   |9600    |     2h40m W  |    0         |  1.0E-06     |0.3000        |   10  local-TF  mixing                 |converged-true  |29 iterations|scf      
fe_octa_0002.out      |     72   |~         |    71.0000 |   430.000|  317 |       33       |        5       |  2283.7811     |-10864.23208935 |   1.347368   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  125   | 0.0400   |30600   |     8h30m W  |    0         |  1.0E-06     |0.1000        |   10  plain     mixing                 |converged-false |66 iterations|relax    
fe_octa_002.out       |     72   |~         |    71.0000 |   430.000|  317 |       33       |        5       |  2283.7811     |-10864.23208929 |   1.347117   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |  125   | 0.0400   |25560   |     7h 6m W  |    0         |  1.0E-06     |0.3000        |    8  local-TF  mixing                 |converged-false |32 iterations|relax    
fe_octa_2.out         |     72   |~         |    71.0000 |   430.000|  317 |       33       |        3       |  2283.7811     |-10864.23209090 |   1.347323   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |16980   |     4h43m W  |    0         |  1.0E-07     |0.1000        |   10  local-TF  mixing                 |converged-false |42 iterations|relax    
fe_octa_2a.out        |     72   |~         |    71.0000 |   430.000|  350 |       33       |        3       |  2283.7811     |-10864.23209094 |   1.347391   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |19860   |     5h31m W  |    0         |  1.0E-07     |0.1000        |   10  plain     mixing                 |converged-false |63 iterations|relax    
fe_octa_2b.out        |     72   |~         |    71.0000 |   430.000|  350 |       33       |        3       |  2283.7811     |-10864.23209108 |   1.347367   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |20760   |     5h46m W  |    0         |  1.0E-08     |0.1000        |   10  plain     mixing                 |converged-false |71 iterations|relax    
fe_octa_2c.out        |     72   |~         |    71.0000 |   430.000|  350 |       33       |        3       |  2283.7811     |-10864.23209108 |   1.347298   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |18660   |     5h11m W  |    0         |  1.0E-08     |0.1000        |   10  local-TF  mixing                 |converged-false |43 iterations|relax    
fe_octa_2d.out        |     72   |~         |    71.0000 |   430.000|  350 |       33       |        3       |  2283.7811     |-10864.23209108 |   1.347331   | 12.938187    |  0.000000    |  0.000000    |  0.000000    |  0.000000    |  0.000000    | 1.000000     | 0.000000     | 0.000000     | 0.000000     | 1.054470     | 0.000000     | 0.000000     | 0.000000     | 1.000000     |   75   | 0.0400   |17940   |     4h59m W  |    0         |  1.0E-08     |0.1000        |   10  TF        mixing                 |converged-false |42 iterations|relax    
